iter	Passed	Remaining
0	257	257439
1	260	129934
2	262	87379
3	265	66062
4	268	53378
5	270	44815
6	272	38678
7	274	34077
8	277	30508
9	279	27637
10	281	25314
11	284	23384
12	286	21759
13	288	20336
14	291	19110
15	293	18028
16	295	17083
17	298	16284
18	301	15553
19	303	14864
20	305	14254
21	307	13690
22	310	13181
23	312	12722
24	315	12308
25	317	11899
26	319	11530
27	322	11182
28	324	10861
29	327	10582
30	329	10305
31	331	10037
32	334	9790
33	336	9553
34	338	9327
35	340	9124
36	343	8944
37	346	8763
38	348	8581
39	350	8415
40	352	8250
41	355	8097
42	357	7954
43	359	7810
44	361	7670
45	363	7543
46	366	7426
47	368	7306
48	370	7198
49	372	7083
50	374	6972
51	376	6857
52	377	6751
53	379	6643
54	380	6539
55	381	6438
56	383	6348
57	385	6254
58	386	6161
59	387	6075
60	388	5985
61	390	5904
62	391	5822
63	392	5737
64	393	5657
65	394	5579
66	395	5504
67	396	5433
68	397	5367
69	399	5301
70	400	5239
71	401	5176
72	402	5113
73	403	5052
74	405	4996
75	406	4937
76	407	4880
77	408	4823
78	409	4768
79	410	4716
80	411	4667
81	412	4616
82	413	4566
83	414	4522
84	415	4476
85	416	4430
86	417	4384
87	418	4340
88	419	4296
89	420	4253
90	421	4212
91	422	4173
92	424	4135
93	425	4099
94	426	4062
95	427	4027
96	428	3992
97	430	3959
98	431	3924
99	432	3890
100	433	3857
101	434	3824
102	435	3793
103	436	3764
104	437	3732
105	438	3701
106	439	3670
107	440	3642
108	442	3618
109	444	3592
110	445	3564
111	446	3536
112	447	3509
113	448	3482
114	449	3456
115	450	3430
116	451	3404
117	452	3381
118	453	3356
119	454	3331
120	455	3310
121	456	3285
122	458	3268
123	459	3246
124	461	3229
125	462	3209
126	463	3186
127	464	3165
128	465	3144
129	466	3123
130	467	3103
131	468	3083
132	469	3063
133	470	3043
134	472	3025
135	473	3007
136	474	2990
137	475	2972
138	477	2954
139	478	2936
140	479	2918
141	479	2898
142	480	2879
143	481	2863
144	482	2846
145	483	2829
146	484	2813
147	486	2798
148	487	2783
149	489	2771
150	490	2756
151	491	2741
152	492	2725
153	493	2710
154	494	2696
155	495	2682
156	496	2667
157	497	2652
158	498	2637
159	499	2623
160	500	2608
161	502	2598
162	503	2587
163	505	2574
164	506	2560
165	507	2547
166	508	2534
167	509	2521
168	509	2507
169	511	2494
170	511	2482
171	512	2469
172	513	2456
173	515	2445
174	516	2434
175	517	2423
176	519	2413
177	519	2401
178	521	2390
179	522	2378
180	523	2367
181	524	2356
182	525	2345
183	526	2334
184	527	2323
185	528	2312
186	529	2302
187	530	2291
188	531	2282
189	533	2272
190	534	2263
191	535	2254
192	536	2243
193	537	2233
194	538	2223
195	539	2213
196	540	2203
197	541	2193
198	542	2183
199	543	2174
200	544	2164
201	545	2155
202	547	2150
203	549	2143
204	550	2134
205	551	2124
206	552	2114
207	552	2105
208	553	2096
209	554	2087
210	555	2078
211	556	2069
212	557	2060
213	558	2051
214	559	2044
215	560	2036
216	562	2029
217	563	2020
218	564	2013
219	565	2005
220	566	1998
221	567	1989
222	568	1981
223	569	1973
224	570	1964
225	572	1959
226	573	1952
227	574	1944
228	575	1937
229	576	1930
230	578	1924
231	579	1917
232	580	1909
233	581	1902
234	582	1894
235	583	1887
236	584	1880
237	584	1872
238	585	1865
239	586	1858
240	587	1851
241	588	1844
242	589	1837
243	591	1832
244	592	1826
245	593	1819
246	594	1812
247	595	1805
248	596	1799
249	597	1792
250	598	1785
251	599	1779
252	600	1772
253	601	1765
254	602	1759
255	603	1752
256	604	1747
257	605	1742
258	607	1737
259	608	1731
260	609	1725
261	610	1719
262	611	1713
263	612	1707
264	613	1701
265	614	1694
266	615	1689
267	616	1682
268	617	1677
269	618	1671
270	619	1666
271	620	1661
272	622	1656
273	623	1651
274	624	1645
275	625	1640
276	626	1634
277	627	1629
278	628	1623
279	629	1618
280	630	1612
281	631	1607
282	632	1601
283	632	1595
284	633	1590
285	635	1586
286	636	1581
287	637	1576
288	638	1571
289	639	1566
290	640	1561
291	641	1555
292	642	1550
293	643	1545
294	644	1540
295	645	1535
296	646	1530
297	647	1524
298	648	1520
299	649	1515
300	650	1511
301	652	1507
302	653	1502
303	653	1497
304	654	1492
305	655	1487
306	656	1482
307	657	1477
308	658	1472
309	659	1468
310	660	1463
311	661	1459
312	662	1454
313	663	1449
314	664	1445
315	666	1442
316	667	1438
317	668	1433
318	669	1428
319	670	1424
320	671	1419
321	672	1415
322	673	1410
323	673	1406
324	674	1401
325	675	1397
326	676	1393
327	677	1388
328	679	1385
329	680	1381
330	681	1377
331	682	1373
332	683	1369
333	684	1365
334	685	1360
335	686	1356
336	687	1352
337	688	1347
338	689	1343
339	690	1339
340	690	1335
341	691	1331
342	692	1327
343	693	1323
344	695	1320
345	696	1316
346	697	1312
347	698	1308
348	699	1304
349	700	1300
350	701	1296
351	701	1292
352	702	1288
353	703	1284
354	704	1280
355	705	1276
356	706	1272
357	707	1268
358	708	1265
359	710	1262
360	711	1259
361	712	1255
362	713	1251
363	714	1247
364	714	1243
365	715	1239
366	716	1236
367	717	1232
368	718	1228
369	719	1225
370	720	1221
371	721	1217
372	722	1213
373	723	1210
374	724	1207
375	725	1203
376	726	1201
377	727	1197
378	728	1193
379	729	1190
380	730	1187
381	731	1183
382	732	1180
383	733	1176
384	734	1173
385	735	1169
386	736	1166
387	737	1163
388	738	1159
389	739	1156
390	740	1154
391	741	1150
392	742	1147
393	743	1144
394	744	1140
395	745	1137
396	746	1134
397	747	1130
398	748	1127
399	749	1124
400	750	1120
401	751	1117
402	752	1114
403	753	1111
404	754	1108
405	755	1105
406	756	1102
407	757	1099
408	758	1096
409	759	1092
410	760	1089
411	761	1086
412	762	1083
413	763	1080
414	764	1077
415	765	1074
416	765	1070
417	766	1067
418	768	1065
419	769	1063
420	771	1060
